SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent,Delta
11:30:00 am,9:49:19 am,Short Straddle,NSE:NIFTY2620325300CE,25300,CE,SELL,248.45,268.00,-1270.75,-7.87%,N/A
11:30:00 am,9:49:34 am,Long Straddle,NSE:NIFTY2620325300CE,25300,CE,BUY,248.45,268.00,1270.75,7.87%,N/A
11:30:00 am,9:49:40 am,Short Strangle,NSE:NIFTY2620325500CE,25500,CE,SELL,154.20,166.15,-776.75,-7.75%,N/A
11:30:00 am,9:49:49 am,Iron Condor,NSE:NIFTY2620325500CE,25500,CE,SELL,154.20,166.15,-776.75,-7.75%,N/A
11:30:00 am,9:49:52 am,Iron Butterfly,NSE:NIFTY2620325300CE,25300,CE,SELL,248.45,268.00,-1270.75,-7.87%,N/A
11:30:00 am,9:49:56 am,Call Butterfly,NSE:NIFTY2620325100CE,25100,CE,BUY,371.60,401.10,1917.50,7.94%,N/A
11:30:00 am,9:49:56 am,Call Butterfly,NSE:NIFTY2620325300CE,25300,CE,SELL,248.45,268.00,-2541.50,-7.87%,N/A
11:30:00 am,9:51:50 am,Short Straddle,NSE:BANKNIFTY26FEB59500CE,59500,CE,SELL,1060.05,1154.65,-2838.00,-8.92%,N/A
11:30:00 am,9:51:50 am,Short Straddle,NSE:BANKNIFTY26FEB59500PE,59500,PE,SELL,846.75,745.00,3052.50,12.02%,N/A
11:30:00 am,9:51:54 am,Long Straddle,NSE:BANKNIFTY26FEB59500CE,59500,CE,BUY,1060.05,1154.65,2838.00,8.92%,N/A
11:30:00 am,9:51:54 am,Long Straddle,NSE:BANKNIFTY26FEB59500PE,59500,PE,BUY,846.75,745.00,-3052.50,-12.02%,N/A
11:30:00 am,9:52:00 am,Short Strangle,NSE:BANKNIFTY26FEB59000PE,59000,PE,SELL,655.00,570.10,2547.00,12.96%,N/A
11:30:00 am,9:52:00 am,Short Strangle,NSE:BANKNIFTY26FEB60000CE,60000,CE,SELL,797.95,872.50,-2236.50,-9.34%,N/A
11:30:00 am,9:52:04 am,Long Strangle,NSE:BANKNIFTY26FEB60000CE,60000,CE,BUY,797.95,872.50,2236.50,9.34%,N/A
11:30:00 am,9:52:08 am,Iron Condor,NSE:BANKNIFTY26FEB59000PE,59000,PE,SELL,655.00,570.10,2547.00,12.96%,N/A
11:30:00 am,9:52:08 am,Iron Condor,NSE:BANKNIFTY26FEB60000CE,60000,CE,SELL,797.95,872.50,-2236.50,-9.34%,N/A
11:30:00 am,9:52:08 am,Iron Condor,NSE:BANKNIFTY26FEB60500CE,60500,CE,BUY,582.95,638.45,1665.00,9.52%,N/A
11:30:00 am,9:52:24 am,Iron Butterfly,NSE:BANKNIFTY26FEB59500PE,59500,PE,SELL,846.75,745.00,3052.50,12.02%,N/A
11:30:00 am,9:52:24 am,Iron Butterfly,NSE:BANKNIFTY26FEB59500CE,59500,CE,SELL,1060.05,1154.65,-2838.00,-8.92%,N/A
11:30:00 am,9:52:24 am,Iron Butterfly,NSE:BANKNIFTY26FEB60000CE,60000,CE,BUY,797.95,872.50,2236.50,9.34%,N/A
11:30:00 am,9:52:28 am,Call Butterfly,NSE:BANKNIFTY26FEB59000CE,59000,CE,BUY,1365.00,1475.00,3300.00,8.06%,N/A
11:30:00 am,9:52:28 am,Call Butterfly,NSE:BANKNIFTY26FEB59500CE,59500,CE,SELL,1060.05,1154.65,-5676.00,-8.92%,N/A
11:30:00 am,9:52:28 am,Call Butterfly,NSE:BANKNIFTY26FEB60000CE,60000,CE,BUY,797.95,872.50,2236.50,9.34%,N/A
